codigo_postal;nombre
04811;Cerricos (Los)
04812;Llano de Los Olleres
04813;Saliente Alto
04815;Almanzora
04820;Velez-Rubio
04825;Aspilla
04826;Aranegas (Los)
04827;Bancalejo (El)
04828;Gazquez (Los)
04829;Alcoluche
04830;Velez-Blanco
04838;Alfahuara
04839;Cañada Grande
04857;Albanchez
04858;Barranco Infierno (El)
04859;Cobdar
04860;Huitar Mayor
04867;Macael
04868;Arroyo Franco Y Estella
04869;Cañada de Las Cruces (La)
04870;Campillo (El)
04877;Lucar
04878;Sierro
04880;Porteros (Los)
04887;Cela
04888;Armuña de Almanzora
04889;Bacares
04890;Martenses (Los)
04897;Alcontar
04898;Hijate (El)
04899;Negro (El)
04964;Saltador (El)
05001;Avila
05100;Navaluenga
05110;Barraco (El)
05111;San Juan de la Nava
05113;Burgohondo
05114;Villanueva de Avila
05115;Navarrevisca
05116;Serranillos
05120;Navalmoral
05122;Navaquesera
05123;Hoyocasero
05130;Baterna
05131;Hija de Dios (La)
05132;Cepeda la Mora
05133;San Martin Vega Alberche
05134;Garganta del Villar
05140;Bularros
05141;Chamartin
05143;Pasarilla del Rebollar
05145;Ortigosa de Rioalmar
05146;Bercimuelle
05147;Blascojimeno
05148;Cabezas del Villar
05149;Cillan
05150;Pascualcobo
05151;Martinez
05152;Montalvo
05153;Arevalillo
05154;Miron (El)
05160;Alamedilla del Berrocal
05161;Zorita de Los Molinos
05162;Berlanas (Las)
05163;Gotarrendura
05164;Hernansancho
05165;El Bohodon
05170;Tiemblo (El)
05190;Cabañas
05191;Mironcillo
05192;Colilla (La)
05193;Ojos Albos
05195;Bernuy-Salinero
05196;Navalgrande O Canto Pico
05197;Aldea del Rey Niño
05198;Bandadas
05200;Arevalo
05210;Horcajo de Las Torres
05211;Bernuy-Zapardiel
05212;Aldeaseca
05213;Langa
05215;Donvidas
05216;Magazos
05217;Cabezas de Alambre
05220;Madrigal Altas Torres
05229;Barroman
05230;Ciudad Ducal
05240;Navalperal de Pinares
05250;Hoyo de Pinares (El)
05260;Cebreros
05267;San Bartolome de Pinares
05268;El Herradon
05270;Poblado del Burguillo
05279;Atalaya (La)
05280;Mingorria
05289;San Esteban de Los Patos
05290;Blascosancho
05291;Maello
05292;Pajares de Adaja
05294;La Cañada
05296;Adanero
05298;Mamblas
05299;Blasconuño de Matacabras
05300;Crespos
05309;Collado de Contreras
05310;Fontiveros
05320;Cardeñosa
05340;Aveinte
05350;Morañuela
05358;Albornos
05364;Hoyos del Espino
05370;Ajo (El)
05380;Convento de Duruelo (El)
05400;Arenas de San Pedro
05410;Higuera (La)
05412;San Esteban del Valle
05413;Santa Cruz del Valle
05414;Cuevas del Valle
05415;Hornillo (El)
05416;Arenal (El)
05417;Guisando
05418;Hontanares
05420;Fuente de la Salud
05427;Fresnedilla
05428;Casillas
05430;Adrada (La)
05440;Piedralaves
05450;Casavieja
05460;Gavilanes
05461;Mijares
05470;Pedro Bernardo
05480;Candeleda
05490;Lanzahita
05492;Poyales del Hoyo
05500;Cañada (La)
05510;Navahermosa de Corneja
05511;Valdemolinos
05514;Bonilla de la Sierra
05515;Almohalla (La)
05516;Alameda (La)
05519;Cerca Riba (La)
05520;Aldealabad
05530;Muñogalindo
05540;Muñana
05560;Amavida
05570;Pajarejos
05571;Casas del Puerto
05580;Aldeanueva de Santa Cruz
05581;Navarregadilla
05591;Villanueva del Campillo
05592;Casas de Navancuerda
05593;La Aldehuela
05600;Barco de Avila (El)
05610;Becedas
05619;Gilbuena
05620;Carrera (La)
05621;Puerto Castilla
05630;Navamediana
05631;Navalperal de Tormes
05632;Ortigosa de Tormes
05633;Navacepeda de Tormes
05634;Hoyos del Collado
05635;Barajas
05690;Bohoyo
05691;Loros (Los)
05692;Barquillo (El)
05693;Gil Garcia
05694;Palacios de Becedas
05695;Horcajada (La)
05696;Encinares
05697;Nava del Barco
06001;Badajoz
06010;Albala
06100;Olivenza
06105;Cheles
06106;San Benito Contienda
06107;Villarreal
06109;San Francisco de Olivenza
06110;Villanueva del Fresno
06120;Oliva Frontera
06129;Zahinos
06130;Valverde de Leganes
06131;Alconchel
06132;Higuera de Vargas
06133;Taliga
06134;Valencia Mombuey
06140;Talavera la Real
06150;Santa Marta
06160;Barcarrota
06170;Albuera (La)
06171;Almendral
06172;Torre de Miguel Sesmero
06173;Nogales
06174;Haba (La)
06175;Salvatierra de Los Barros
06176;Morera (La)
06177;Valle de Matamoros
06178;Valle de Santa Ana
06180;Gevora
06181;Alcazaba
06184;Pueblonuevo del Guadiana
06185;Valdelacalzada
06186;Guadiana del Caudillo
06187;Guadajira
06190;Roca de la Sierra (La)
06191;Puebla de Obando
06192;Villar del Rey
06193;Botoa
06195;Balboa
06196;Corte de Peleas
06197;Entrin Alto
06198;Retamal
06200;Almendralejo
06207;Aceuchal
06208;Villalba de Los Barros
06209;Cortegana
06210;Torremejia
06220;Villafranca de Los Barros
06225;Ribera del Fresno
06226;Hinojosa del Valle
06227;Llera
06228;Hornachos
06229;Puebla del Prior
06230;Santos de Maimona (Los)
06240;Fuente de Cantos
06249;Calzadilla de Los Barros
06250;Bienvenida
06260;Monesterio
06270;Segura de Leon
06280;Fuentes de Leon
06290;Usagre
06291;Montemolin
06292;Calera de Leon
06293;Cabeza la Vaca
06300;Buen Suceso
06310;Puebla de Sancho Perez
06320;Medina de Las Torres
06329;Atalaya
06330;Nuestra Señora del Valle
06340;Fregenal de la Sierra
06350;Higuera la Real
06360;Fuente del Maestre
06370;Burguillos del Cerro
06378;Valverde de Burguillos
06380;Bazana (La)
06390;Feria
06391;Lapa (La)
06393;Alconera
06394;Bodonal de la Sierra
06400;Don Benito
06411;Medellin
06412;Hernan Cortes
06413;Mengabril
06420;Castuera
06427;Monterrubio de la Serena
06428;Puerto Hurraco
06429;Benquerencia de la Serena
06430;San Cristobal de Zalamea
06439;Esparragosa de la Serena
06440;Malpartida de la Serena
06441;Higuera de la Serena
06442;Retamal de Llerena
06443;Campillo de Llerena
06444;Valencia de Las Torres
06445;Higuera de Llerena
06450;Quintana de la Serena
06458;Valle de la Serena
06459;Guarda (La)
06460;Campanario
06468;Magacela
06469;Coronada (La)
06470;Guareña
06473;Villagonzalo
06474;Valdetorres
06475;Abejarones Arriba Y Abajo
06476;Palomas
06477;Puebla de la Reina
06478;Manchita
06479;Cristina
06480;Lacara
06486;Nava de Santiago (La)
06487;Cordobilla de Lacara
06488;Carmonita
06490;Puebla de la Calzada
06498;Lobon
06499;Barbaño
06500;Dehesa Mayorga
06510;Alburquerque
06518;Bacoco
06519;Benavente
06600;Almorchon
06610;Peñalsordo
06611;Zarza-Capilla
06612;Capilla
06613;Helechal
06615;Nava (La)
06620;Esparragosa de Lares
06630;Puebla de Alcocer
06640;Puerto Peña
06650;Siruela
06655;Sancti-Spiritus
06656;Garlitos
06657;Risco
06658;Tamurejo
06659;Baterno
06660;Fuenlabrada de Los Montes
06670;Herrera del Duque
06678;Villarta de Los Montes
06679;Peloche
06680;Castilblanco
06689;Poblado A.e.t.e.a.
06690;Garbayuela
06692;Bohonal
06700;Villanueva de la Serena
06710;Entrerrios
06711;Gargaligas
06713;Los Guadalperales
06715;Rena
06716;Puebla de Alcollarin
06717;Torviscal (El)
06718;Casas Castillo Encomienda
06730;Acedera
06731;Vegas Altas
06740;Orellana la Vieja
06750;Orellana de la Sierra
06760;Navalvillar de Pela
06770;Casas de Don Pedro
06800;Campomanes
06810;Calamonte
06820;Don Alvaro
06830;Zarza (La)
06840;Alange
06850;Arroyo de San Servan
06860;Esparragalejo
06870;Garrovilla (La)
06880;Torremayor
06890;Valverde de Merida
06891;Mirandilla
06892;Trujillanos
06893;San Pedro de Merida
06894;Aljucen
06900;Llerena
06906;Puebla del Maestre
06907;Pallares
06908;Santa Maria de la Nava
06909;Trasierra
06910;Granja de Torrehermosa
06919;Peraleda del Zaucejo
06920;Azuaga
06927;Valverde de Llerena
06928;Malcocinado
06930;Berlanga
06939;Maguilla
06940;Ahillones
06950;Villagarcia de la Torre
06960;Casas de Reina
06970;Reina
06980;Estacion
07001;Palma
07007;Coll De'N Rabassa (Es)
07009;Indioteria (Sa)
07010;Bunyola
07014;Genova
07071;Son Sant Joan
07100;Horta (L')
07101;Biniaraix
07108;Port (El)
07109;Fornalutx
07110;Baix Des Puig
07120;Creu Vermella (Sa)
07140;Ca'S Cana
07141;Cabaneta (Sa)
07142;Alqueries
07143;Biniali
07144;Costitx
07150;Andratx
07157;Port D'Andratx
07159;Arraco (S')
07160;Camp de Mar (Es)
07170;Nogueral (Es)
07179;Deya
07180;Santa Ponça
07181;Cas Catala-Illetes (Ses)
07183;Costa de la Calma
07184;Calvia
07190;Port Des Canonge (Es)
07191;Banyalbufar
07192;Estellencs
07194;Puigpunyent
07195;Galilea
07196;Capdella (Es)
07198;Casa Blanca (Sa)
07199;Aranjassa (S')
07200;Felanitx
07208;Cas Concos Des Cavaller
07209;Son Mesquida
07210;Algaida
07220;Pina
07230;Montuiri
07240;Sant Joan
07250;Vilafranca de Bonany
07259;Ariany
07260;Porreres
07300;Inca
07310;Campanet
07311;Buger
07312;Mancor de la Vall
07313;Selva
07314;Caimari
07315;Cala Tuent - Sa Calobra
07316;Moscari
07320;Santa Maria del Cami
07330;Consell
07340;Alaro
07349;Orient
07350;Biniagual
07360;Lloseta
07369;Biniamar
07420;Pobla (Sa)
07430;Llubi
07440;Muro
07450;Ca'N Picafort
07458;Platja de Muro
07459;Son Serra de Marina
07460;Pollença
07469;Cala de Sant Vicenç
07470;Can Singala
07500;Manacor
07509;Son Macia
07510;Sineu
07511;Ruberts
07518;Lloret de Vistalegre
07519;Maria de la Salut
07520;Petra
07530;Sant Llorenç Des Cardassa
07540;Son Carrio
07550;Son Servera
07559;Cala Bona
07560;Son Moro
07570;Arta
07579;Colonia de Sant Pere
07580;Capdepera
07589;Font de Sa Cala
07590;Cala Ratjada
07600;Arenal (S')
07608;Pil.lari (Es)
07609;Badia Blava
07610;Can Pastilla
07620;Llucmajor
07629;Randa
07630;Campos
07638;Palmer (El)
07639;Covetes (Ses)
07640;Salines (Ses)
07650;Costa (La)
07659;Cala Figuera
07660;Cala D'Or
07669;Horta (S')
07670;Portocolom
07680;Cala Anguila-Cala Mendia
07687;S'Illot-Cala Morlanda
07688;Cala Murada
07689;Cales de Mallorca
07690;Llombards
07691;Alqueria Blanca
07700;Grau (Es)
07701;Mao
07710;Sant Lluis
07711;Binibeca Vell
07712;Binixiquer
07713;Alcaufar
07720;Trebaluger
07730;Alaior
07740;Mercadal (Es)
07748;Fornells
07749;Migjorn Gran (Es)
07750;Barranch
07760;Ciutadella de Menorca
07800;Eivissa
07810;Sant Joan de Labritja
07811;Sant Vicent de Sa Cala
07812;Sant Llorenç de Balafia
07814;Santa Gertrudis
07815;Sant Miquel de Balansat
07816;Sant Mateu D'Eubarca
07817;Sant Jordi de Ses Salines
07818;Sant Francesc de S'Estany
07819;Nuestra Señora de Jesus
07820;Buscastell
07828;Santa Agnes de Corona
07829;Sant Agusti Des Vedra
07839;Cubells (Es)
07849;San Carlos
07860;Cap de Barbaria (Es)
07870;Savina, la
07871;Pujols
07872;Calo (Es)
08001;Barcelona
08100;Mollet del Valles
08104;Gallecs
08105;Colonia Bosc Montealegre
08106;Sta Maria de Martorelles
08107;Martorelles
08110;Can Sant Joan
08120;Llagosta (La)
08130;Florida (La)
08140;Caldes de Montbui
08146;Gallifa
08148;Estany (L')
08150;Can Gosc
08160;Montmeló
08161;Rubi
08170;Montornes Centre
08172;Sant Cugat del Valles
08173;Mira-Sol
08178;Casetes (Les)
08180;Moià
08181;Sentmenat
08182;Sant Feliu de Codines
08183;Castellcir
08185;Pla (El)
08187;Bonaire (El)
08188;Vallromanes
08189;Sant Quirze Safaja
08192;Fonts (Les)
08193;Cerdanyola del Valles
08196;Floresta (La)
08201;Berard
08202;Salut (La)
08203;Sabadell
08210;Barberà del Vallès
08211;Airesol
08212;Sant Llorenç Savall
08213;Polinyà
08214;Badia del Valles
08221;Terrassa
08230;Matadepera
08231;Ullastrell
08232;Viladecavalls
08233;Vacarisses
08240;Cami del Suanya
08241;Ferreres (Les)
08242;Manresa
08243;Guix (El)
08250;Joncadella
08251;Castellnou de Bages
08253;Raval de Coll D'Arboç
08254;Pont Vilomara I Rocafort
08255;Castellfollit del Boix
08256;Aguilar de Segarra
08259;Camps
08260;Súria
08261;Cardona
08262;Antius
08263;Castelltallat
08269;Castelladral
08270;Navarcles
08271;Artés
08272;Rosaleda de Bages (La)
08273;Raval de la Rovirola (El)
08274;Sant Feliu Sasserra
08275;Calders
08278;Mura
08279;Avinyó
08280;Calaf
08281;Aleny
08282;Conill
08289;Copons
08291;Ripollet
08292;Can Rial
08293;Collbató
08294;Bruc (El)
08295;Boadas
08296;Can Serra I Padro
08297;Fabrica (La)
08298;Colonia Puig (La)
08299;Codines (Les)
08301;Mataro
08310;Argentona
08317;Òrrius
08318;Dosrius
08320;Masnou (El)
08328;Alella
08329;Teia Centre
08330;Premia de Mar
08338;Nucli Antic
08339;Vilassar de Dalt
08340;Vilassar de Mar
08348;Cabrils
08349;Cabrera de Mar
08350;Arenys de Mar
08358;Arenys de Munt
08359;Sant Iscle de Vallalta
08360;Canet de Mar
08370;Calella
08380;Malgrat de Mar
08389;Palafolls
08390;Montgat
08391;Tiana
08392;Sant Andreu de Llavaneres
08393;Caldes D'Estrac
08394;Sant Vicenç de Montalt
08395;Sant Pol de Mar
08396;Sant Cebrià de Vallalta
08397;Pineda de Mar
08398;Casc Urbà-Santa Susanna
08401;Granollers
08410;Vilanova del Valles
08415;Vallrroja I El Pla
08416;Riells del Fai
08420;Serra (La)
08430;Roca del Vallès (La)
08440;Cànoves
08450;Llinars del Vallès
08455;Vilalba Sasserra
08459;Alfou
08460;Montseny
08461;Sant Esteve Palautordera
08470;Campins
08471;Vallgorguina
08474;Gualba
08476;Batlloria (La)
08479;Costa del Montseny (La)
08480;Ametlla del Vallès (L')
08490;Tordera
08495;Fogars de la Selva
08500;Vic
08503;Gurb
08504;Sant Julià de Vilatorta
08505;Muntanyola
08506;Calldetenes
08507;Santa Eugènia de Berga
08508;Burrisola
08509;Gleva (La)
08510;Cases Noves (Les)
08511;Cantonigros
08512;Sant Hipòlit de Voltregà
08513;Prats de Lluçanès
08514;Lluçà
08515;Sant Martí D'Albars
08516;Olost
08517;Sant Martí de Merlès
08518;Raval de Sant Feliu (El)
08519;Folgueroles
08520;Corro D'Amunt
08521;Bellavista
08540;Centelles
08550;Hostalets Balenyà (Els)
08551;Tona
08552;Gurri (El)
08553;Seva
08554;Sant Miquel de Balenyà
08559;Brull (El)
08560;Manlleu
08570;Torelló
08571;Borgonya
08572;Sant Pere de Torelló
08573;Colonia Ymbern
08580;Sant Quirze de Besora
08587;Alpens
08588;Sora
08589;Montesquiu
08590;Figaró-Montmany
08591;Aiguafreda
08592;Abella (L')
08593;Avenco
08600;Berga
08604;Castell de L'Areny
08605;Montclar
08610;Avià
08611;Olvan
08612;Montmajor
08613;Vilada
08614;Cint (El)
08619;Borredà
08620;Sant Vicenç Dels Horts
08629;Torrelles de Llobregat
08630;Entitat Est D'Abrera
08635;Can Bargallo
08640;Olesa de Montserrat
08650;Botjosa (La)
08660;Balsareny
08672;Galera
08673;Sant Joan de Montdarn
08680;Bassacs
08690;Colònia Güell
08691;Monistrol de Montserrat
08692;Ametlla de Merola (La)
08693;Ametlla de Casserres (L')
08694;Guardiola de Berguedà
08695;Bagà
08696;Castellar de N'Hug
08697;Saldes
08698;Nou de Berguedà (La)
08699;Cal Rosal
08700;Igualada
08710;Santa Margarida Montbui
08711;Raval D'Aguilera (El)
08712;Sant Martí de Tous
08717;Argençola
08719;Castelloli
08720;Bordallet (El)
08729;Casetes la Gornal (Les)
08730;Cal Rubio
08731;Gunyoles (Les)
08732;San Marçal
08733;Bonavista
08734;Arboçar (L')
08735;Bellver
08736;Alzinar (L')
08737;Berna (La)
08738;Camp D'Ases
08739;Grabuach I la Fanga
08740;Sant Andreu de la Barca
08750;Molins de Rei
08753;Fontpineda
08754;Papiol (El)
08755;Castellbisbal
08756;Can Iglèsies
